Tabelle di saturazione di R134a

-,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo
T (°C),P (MPa),vL (m^3/kg),vL-vv (m^3/kg),vv (m^3/kg),uL (kJ/kg),uv (kJ/kg),hL (kJ/kg),hL–hv (kJ/kg),hv (kJ/kg),sL (kJ/kgK),sL–sv (kJ/kgK),sv (kJ/kgK)
-12.5,0.1816,0.00075,0.10875,0.1095,17.46,205.5,17.6,207.7,225.3,0.0691,0.797,0.8661
-10.0,0.2006,0.00075,0.09884,0.09959,20.74,206.9,20.89,206.01,226.9,0.0816,0.7827,0.8643
-7.5,0.2212,0.00076,0.08997,0.09073,24.02,208.3,24.19,204.21,228.4,0.09403,0.76857,0.8626
-5.0,0.2433,0.00076,0.08204,0.0828,27.32,209.7,27.51,202.29,229.8,0.1064,0.7546,0.861
-2.5,0.2672,0.00077,0.07492,0.07569,30.63,211.1,30.84,200.46,231.3,0.1187,0.7408,0.8595
0.0,0.2928,0.00077,0.06854,0.06931,33.96,212.5,34.19,198.61,232.8,0.131,0.727,0.858
2.5,0.3203,0.00078,0.06278,0.06356,37.31,213.9,37.56,196.64,234.2,0.1431,0.7136,0.8567
5.0,0.3497,0.00078,0.05759,0.05837,40.67,215.3,40.94,194.76,235.7,0.1553,0.7001,0.8554
7.5,0.3811,0.00079,0.0529,0.05369,44.04,216.6,44.35,192.75,237.1,0.1674,0.6868,0.8542
10.0,0.4146,0.00079,0.04865,0.04944,47.44,218.0,47.77,190.73,238.5,0.1794,0.6737,0.8531
12.5,0.4503,0.00080,0.04479,0.04559,50.85,219.4,51.21,188.69,239.9,0.1914,0.6606,0.852
15.0,0.4884,0.00080,0.04129,0.04209,54.28,220.7,54.67,186.63,241.3,0.2034,0.6475,0.8509
17.5,0.5288,0.00081,0.03809,0.0389,57.72,222.0,58.15,184.45,242.6,0.2153,0.6346,0.8499
20.0,0.5717,0.00082,0.03518,0.036,61.19,223.4,61.66,182.24,243.9,0.2272,0.6218,0.849
22.5,0.6172,0.00082,0.03252,0.03334,64.68,224.7,65.18,180.02,245.2,0.239,0.6091,0.8481
25.0,0.6654,0.00083,0.03008,0.03091,68.18,226.0,68.74,177.76,246.5,0.2509,0.5963,0.8472
27.5,0.7163,0.00084,0.02785,0.02869,71.71,227.2,72.31,175.49,247.8,0.2627,0.5836,0.8463
30.0,0.7702,0.00084,0.0258,0.02664,75.26,228.5,75.91,173.09,249,0.2745,0.5709,0.8454
32.5,0.827,0.00085,0.02391,0.02476,78.84,229.7,79.54,170.66,250.2,0.2862,0.5584,0.8446
35.0,0.887,0.00086,0.02217,0.02303,82.44,230.9,83.2,168.2,251.4,0.298,0.5457,0.8437
37.5,0.9501,0.00086,0.02058,0.02144,86.06,232.1,86.88,165.62,252.5,0.3097,0.5332,0.8429
40.0,1.017,0.00087,0.0191,0.01997,89.71,233.3,90.6,163,253.6,0.3214,0.5206,0.842
42.5,1.086,0.00088,0.01772,0.0186,93.39,234.5,94.35,160.35,254.7,0.3332,0.5079,0.8411
45.0,1.16,0.00089,0.01645,0.01734,97.10,235.6,98.13,157.57,255.7,0.3449,0.4953,0.8402
47.5,1.237,0.00090,0.01527,0.01617,100.8,236.7,102,154.7,256.7,0.3566,0.4826,0.8392
50.0,1.318,0.00091,0.01418,0.01509,104.6,237.7,105.8,151.8,257.6,0.3684,0.4698,0.8382
52.5,1.403,0.00092,0.01316,0.01408,108.4,238.8,109.7,148.8,258.5,0.3802,0.4569,0.8371
55.0,1.492,0.00093,0.01221,0.01314,112.3,239.7,113.7,145.6,259.3,0.392,0.444,0.836
57.5,1.584,0.00094,0.01132,0.01226,116.2,240.7,117.7,142.4,260.1,0.4039,0.4308,0.8347
60.0,1.682,0.00095,0.01049,0.01144,120.1,241.6,121.7,139.1,260.8,0.4158,0.4176,0.8334
62.5,1.784,0.00096,0.00972,0.01068,124.1,242.4,125.8,135.7,261.5,0.4277,0.4042,0.8319
65.0,1.89,0.00097,0.00899,0.00996,128.1,243.2,130,132,262,0.4398,0.3905,0.8303
67.5,2.001,0.00099,0.0083,0.00929,132.2,243.9,134.2,128.3,262.5,0.4519,0.3766,0.8285
70.0,2.117,0.00100,0.00765,0.00865,136.3,244.5,138.5,124.3,262.8,0.4641,0.3625,0.8266
72.5,2.238,0.00102,0.00704,0.00806,140.6,245.1,142.8,120.3,263.1,0.4765,0.3479,0.8244
75.0,2.364,0.00104,0.00645,0.00749,144.9,245.5,147.3,115.9,263.2,0.489,0.3329,0.8219
77.5,2.496,0.00106,0.0059,0.00696,149.3,245.8,151.9,111.3,263.2,0.5017,0.3174,0.8191
80.0,2.633,0.00108,0.00537,0.00645,153.7,246.0,156.6,106.4,263,0.5146,0.3013,0.8159
82.5,2.776,0.00110,0.00486,0.00596,158.4,246.0,161.4,101.2,262.6,0.5278,0.2845,0.8123
85.0,2.926,0.00113,0.00437,0.0055,163.1,245.9,166.4,95.5,261.9,0.5413,0.2668,0.8081
87.5,3.082,0.00116,0.00389,0.00505,168.1,245.4,171.6,89.4,261,0.5553,0.2478,0.8031
90.0,3.244,0.00119,0.00342,0.00461,173.2,244.6,177.1,82.5,259.6,0.57,0.2271,0.7971
92.5,3.414,0.00124,0.00294,0.00418,178.8,243.4,183,74.7,257.7,0.5855,0.2042,0.7897
95.0,3.591,0.00129,0.00245,0.00374,184.8,241.4,189.4,65.5,254.9,0.6025,0.1777,0.7802
97.5,3.777,0.00138,0.0019,0.00328,191.7,238.1,196.9,53.6,250.5,0.6221,0.1446,0.7667
100.0,3.972,0.00154,0.00114,0.00268,201.4,231.2,207.5,34.4,241.9,0.6497,0.0922,0.7419



Tabelle di saturazione di R134a


-,-,liquido saturo,-,vapore saturo,liquido saturo,-,vapore saturo,liquido saturo,-,vapore saturo,liquido saturo,-,vapore saturo
P (MPa),T (°C),vL (m^3/kg),vL-vv (m^3/kg),vv (m^3/kg),uL (kJ/kg),uv (kJ/kg),hL (kJ/kg),hL–hv (kJ/kg),hv (kJ/kg),sL (kJ/kgK),sL–sv (kJ/kgK),sv (kJ/kgK)
0.03,-49.68,0.00069,0.59511,0.5958,-29.76,184.2,-29.74,231.74,202.0,-0.1263,1.0373,0.911
0.04,-44.60,0.0007,0.4544,0.4551,-23.45,187.1,-23.42,228.72,205.3,-0.09832,1.00062,0.9023
0.05,-40.45,0.0007,0.3686,0.3693,-18.27,189.4,-18.24,226.14,207.9,-0.07588,0.97178,0.8959
0.06,-36.93,0.00071,0.31049,0.3112,-13.85,191.5,-13.81,223.91,210.1,-0.05703,0.94803,0.891
0.07,-33.86,0.00071,0.26859,0.2693,-9.97,193.2,-9.92,222.02,212.1,-0.0407,0.9277,0.887
0.08,-31.12,0.00072,0.23688,0.2376,-6.496,194.8,-6.438,220.238,213.8,-0.02626,0.90996,0.8837
0.09,-28.63,0.00072,0.21188,0.2126,-3.34,196.2,-3.275,218.675,215.4,-0.01329,0.89419,0.8809
0.10,-26.36,0.00073,0.19187,0.1926,-0.4409,197.5,-0.3683,217.1683,216.8,-0.00149,0.87989,0.8784
0.11,-24.26,0.00073,0.17527,0.176,2.245,198.7,2.326,215.774,218.1,0.00935,0.86695,0.8763
0.12,-22.31,0.00073,0.16137,0.1621,4.753,199.9,4.841,214.459,219.3,0.01939,0.85501,0.8744
0.13,-20.48,0.00074,0.14956,0.1503,7.108,200.9,7.203,213.197,220.4,0.02874,0.84396,0.8727
0.14,-18.76,0.00074,0.13936,0.1401,9.33,201.9,9.433,212.067,221.5,0.03751,0.83369,0.8712
0.15,-17.13,0.00074,0.13056,0.1313,11.44,202.8,11.55,210.95,222.5,0.04577,0.82403,0.8698
0.16,-15.59,0.00074,0.12276,0.1235,13.44,203.7,13.56,209.94,223.5,0.05358,0.81492,0.8685
0.18,-12.71,0.00075,0.10965,0.1104,17.19,205.3,17.32,207.88,225.2,0.06804,0.79826,0.8663
0.20,-10.08,0.00075,0.09913,0.09988,20.64,206.8,20.79,206.01,226.8,0.08122,0.78318,0.8644
0.22,-7.64,0.00076,0.09043,0.09119,23.84,208.2,24.01,204.29,228.3,0.09335,0.76935,0.8627
0.24,-5.37,0.00076,0.08315,0.08391,26.84,209.5,27.02,202.58,229.6,0.1046,0.7566,0.8612
0.26,-3.24,0.00077,0.07693,0.0777,29.66,210.7,29.86,201.04,230.9,0.1151,0.7448,0.8599
0.28,-1.23,0.00077,0.07159,0.07236,32.33,211.8,32.54,199.56,232.1,0.1249,0.7338,0.8587
0.30,0.67,0.00077,0.06693,0.0677,34.86,212.9,35.09,198.11,233.2,0.1342,0.7235,0.8577
0.32,2.48,0.00078,0.06283,0.06361,37.28,213.9,37.53,196.67,234.2,0.143,0.7137,0.8567
0.34,4.20,0.00078,0.0592,0.05998,39.59,214.8,39.85,195.35,235.2,0.1514,0.7044,0.8558
0.36,5.84,0.00078,0.05596,0.05674,41.8,215.7,42.08,194.12,236.2,0.1594,0.6956,0.855
0.40,8.93,0.00079,0.05042,0.05121,45.98,217.4,46.3,191.6,237.9,0.1743,0.6792,0.8535
0.45,12.48,0.0008,0.04482,0.04562,50.82,219.4,51.18,188.72,239.9,0.1913,0.6607,0.852
0.50,15.73,0.00081,0.04031,0.04112,55.29,221.1,55.69,186.01,241.7,0.2069,0.6437,0.8506
0.55,18.75,0.00081,0.0366,0.03741,59.46,222.7,59.91,183.39,243.3,0.2213,0.6282,0.8495
0.60,21.57,0.00082,0.03348,0.0343,63.38,224.2,63.87,180.93,244.8,0.2346,0.6138,0.8484
0.65,24.22,0.00083,0.03082,0.03165,67.08,225.6,67.62,178.48,246.1,0.2472,0.6003,0.8475
0.70,26.71,0.00083,0.02854,0.02937,70.6,226.8,71.18,176.22,247.4,0.259,0.5876,0.8466
0.80,31.33,0.00085,0.02477,0.02562,77.16,229.1,77.84,171.76,249.6,0.2807,0.5643,0.845
0.90,35.53,0.00086,0.02183,0.02269,83.2,231.2,83.97,167.63,251.6,0.3004,0.5432,0.8436
1.00,39.39,0.00087,0.01945,0.02032,88.82,233,89.69,163.71,253.4,0.3186,0.5236,0.8422
1.10,42.97,0.00088,0.01748,0.01836,94.09,234.7,95.06,159.84,254.9,0.3354,0.5055,0.8409
1.20,46.31,0.00089,0.01583,0.01672,99.06,236.2,100.1,156.1,256.2,0.3511,0.4886,0.8397
1.30,49.46,0.00091,0.01441,0.01532,103.8,237.5,105,152.4,257.4,0.3658,0.4726,0.8384
1.40,52.42,0.00092,0.01319,0.01411,108.3,238.7,109.6,148.9,258.5,0.3798,0.4574,0.8372
1.50,55.23,0.00093,0.01213,0.01306,112.6,239.8,114,145.4,259.4,0.3931,0.4428,0.8359
1.60,57.91,0.00094,0.01119,0.01213,116.8,240.8,118.3,141.9,260.2,0.4058,0.4287,0.8345
1.70,60.46,0.00095,0.01035,0.0113,120.8,241.7,122.4,138.5,260.9,0.4179,0.4152,0.8331
1.80,62.90,0.00096,0.0096,0.01056,124.7,242.5,126.4,135.1,261.5,0.4296,0.4021,0.8317
1.90,65.23,0.00098,0.00892,0.0099,128.5,243.3,130.3,131.8,262.1,0.4409,0.3892,0.8301
2.00,67.48,0.00099,0.0083,0.00929,132.2,243.9,134.1,128.4,262.5,0.4518,0.3767,0.8285
2.10,69.64,0.001,0.00774,0.00874,135.8,244.4,137.9,124.9,262.8,0.4624,0.3644,0.8268
2.20,71.73,0.00101,0.00723,0.00824,139.3,244.9,141.5,121.5,263.0,0.4727,0.3524,0.8251
2.30,73.74,0.00103,0.00674,0.00777,142.7,245.3,145.1,118.1,263.2,0.4827,0.3405,0.8232
2.40,75.69,0.00104,0.0063,0.00734,146.1,245.6,148.6,114.6,263.2,0.4925,0.3287,0.8212
2.50,77.58,0.00106,0.00588,0.00694,149.4,245.8,152,111.2,263.2,0.5021,0.3169,0.819
2.60,79.41,0.00107,0.0055,0.00657,152.7,246,155.5,107.6,263.1,0.5115,0.3052,0.8167
2.70,81.18,0.00109,0.00513,0.00622,155.9,246.1,158.8,104,262.8,0.5208,0.2935,0.8143
2.80,82.90,0.0011,0.00479,0.00589,159.1,246,162.2,100.3,262.5,0.5299,0.2818,0.8117
2.90,84.58,0.00112,0.00446,0.00558,162.3,245.9,165.6,96.5,262.1,0.539,0.2698,0.8088
3.00,86.20,0.00114,0.00414,0.00528,165.5,245.7,168.9,92.6,261.5,0.548,0.2578,0.8058
3.10,87.79,0.00116,0.00384,0.005,168.6,245.3,172.2,88.6,260.8,0.557,0.2455,0.8025
3.20,89.33,0.00118,0.00355,0.00473,171.8,244.9,175.6,84.4,260.0,0.566,0.2328,0.7988
3.30,90.83,0.00121,0.00326,0.00447,175,244.3,179,80,259.0,0.5751,0.2198,0.7949
3.40,92.30,0.00123,0.00299,0.00422,178.3,243.5,182.5,75.3,257.8,0.5842,0.2062,0.7904
3.50,93.73,0.00126,0.00271,0.00397,181.6,242.5,186.1,70.3,256.4,0.5936,0.1918,0.7854
3.60,95.12,0.0013,0.00242,0.00372,185.1,241.3,189.8,64.9,254.7,0.6034,0.1763,0.7797
3.80,97.80,0.00139,0.00182,0.00321,192.7,237.6,198,51.8,249.8,0.6248,0.1398,0.7646
4.00,100.30,0.00158,0.00098,0.00256,203.4,229.3,209.8,29.8,239.6,0.6557,0.0798,0.7355


Tabelle di R134a

P= 0.03 [MPa]        Tsat= -49.68 [°C]                 P= 0.04 [MPa]       Tsat= -44.60 [°C]                  P= 0.05 [MPa]       Tsat= -40.45 [°C]
 T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]
-50,0.00069,-30.16,-30.14,-0.128,-50,0.00069,-30.16,-30.13,-0.1281,-50,0.00069,-30.16,-30.13,-0.1281
-40,0.6235,190.4,209.1,0.9417,-40,0.4651,190.1,208.7,0.917,-40,0.3701,189.7,208.2,0.8974
-30,0.6519,196.9,216.5,0.9728,-30,0.4867,196.6,216.1,0.9483,-30,0.3876,196.4,215.8,0.929
-20,0.68,203.6,224,1.003,-20,0.5081,203.4,223.7,0.9788,-20,0.4049,203.2,223.4,0.9598
-10,0.7079,210.5,231.7,1.033,-10,0.5292,210.3,231.4,1.009,-10,0.422,210.1,231.2,0.9899
0,0.7358,217.5,239.6,1.062,0,0.5503,217.3,239.3,1.038,0,0.439,217.2,239.1,1.019
10,0.7635,224.7,247.6,1.091,10,0.5712,224.6,247.4,1.067,10,0.4559,224.4,247.2,1.049
20,0.7912,232.1,255.8,1.12,20,0.5921,232,255.7,1.096,20,0.4727,231.8,255.5,1.077
30,0.8188,239.7,264.2,1.148,30,0.6129,239.5,264.1,1.124,30,0.4894,239.4,263.9,1.105
40,0.8463,247.4,272.8,1.176,40,0.6337,247.3,272.6,1.152,40,0.5061,247.2,272.5,1.133
50,0.8738,255.3,281.5,1.203,50,0.6544,255.2,281.4,1.179,50,0.5227,255.1,281.2,1.161
60,0.9013,263.4,290.4,1.23,60,0.6751,263.3,290.3,1.206,60,0.5393,263.2,290.1,1.188
70,0.9287,271.6,299.5,1.257,70,0.6957,271.5,299.3,1.233,70,0.5559,271.4,299.2,1.215
80,0.9562,280,308.7,1.283,80,0.7163,279.9,308.6,1.26,80,0.5724,279.8,308.5,1.241
90,0.9835,288.6,318.1,1.31,90,0.7369,288.5,318,1.286,90,0.589,288.4,317.9,1.268
100,1.01075,297.4,327.7,1.3355,100,0.7575,297.3,327.6,1.312,100,0.60545,297.25,327.55,1.2935
110,1.038,306.2,337.3,1.361,110,0.7781,306.1,337.2,1.338,110,0.6219,306.1,337.2,1.319
120,1.066,315.2,347.2,1.387,120,0.7986,315.2,347.1,1.363,120,0.6384,315.1,347,1.345
130,1.093,324.5,357.2,1.412,130,0.8191,324.4,357.2,1.388,130,0.6549,324.3,357.1,1.37
140,1.12,333.8,367.4,1.437,140,0.8396,333.8,367.4,1.413,140,0.6713,333.7,367.3,1.395
150,1.147,343.4,377.8,1.462,150,0.8601,343.3,377.7,1.438,150,0.6877,343.3,377.6,1.42
160,1.175,353,388.3,1.486,160,0.8806,353,388.2,1.463,160,0.7041,352.9,388.1,1.444
170,1.202,362.9,398.9,1.511,170,0.9011,362.8,398.9,1.487,170,0.7205,362.8,398.8,1.469
180,1.229,372.9,409.7,1.535,180,0.9216,372.8,409.7,1.511,180,0.7369,372.8,409.6,1.493
190,1.257,383,420.7,1.559,190,0.942,383,420.7,1.535,190,0.7533,382.9,420.6,1.517
200,1.284,393.3,431.8,1.582,200,0.9625,393.3,431.8,1.559,200,0.7697,393.2,431.7,1.541

P= 0.06 [MPa]       Tsat= -36.93 [°C]                  P= 0.08 [MPa]        Tsat= -31.12 [°C]                 P= 0.10 [MPa]       Tsat= -26.36 [°C]
 T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]
-50,0.00069,-30.17,-30.12,-0.1281,-50,0.00069,-30.17,-30.12,-0.1281,-50,0.00069,-30.18,-30.11,-0.1281
-40,0.00071,-17.71,-17.66,-0.07345,-40,0.00071,-17.71,-17.66,-0.07348,-40,0.00071,-17.72,-17.65,-0.07351
-30,0.3215,196.1,215.4,0.913,-30,0.2388,195.6,214.7,0.8873,-30,0.00072,-5.085,-5.013,-0.02045
-20,0.3361,202.9,223.1,0.944,-20,0.2501,202.5,222.5,0.9187,-20,0.1984,202,221.8,0.8986
-10,0.3505,209.9,230.9,0.9743,-10,0.2611,209.5,230.4,0.9493,-10,0.2074,209.1,229.8,0.9296
0,0.3648,217,238.9,1.004,0,0.272,216.6,238.4,0.9793,0,0.2163,216.3,237.9,0.9598
10,0.3789,224.3,247,1.033,10,0.2828,223.9,246.6,1.009,10,0.2251,223.6,246.1,0.9893
20,0.393,231.7,255.3,1.062,20,0.2935,231.4,254.9,1.038,20,0.2337,231.1,254.5,1.018
30,0.4071,239.3,263.7,1.09,30,0.3041,239,263.4,1.066,30,0.2423,238.8,263,1.047
40,0.421,247,272.3,1.118,40,0.3147,246.8,272,1.094,40,0.2509,246.6,271.7,1.075
50,0.4349,255,281.1,1.146,50,0.3252,254.8,280.8,1.122,50,0.2594,254.6,280.5,1.103
60,0.4488,263.1,290,1.173,60,0.3357,262.9,289.7,1.149,60,0.2678,262.7,289.5,1.13
70,0.4627,271.3,299.1,1.2,70,0.3462,271.1,298.8,1.176,70,0.2763,271,298.6,1.157
80,0.4765,279.7,308.3,1.226,80,0.3566,279.6,308.1,1.202,80,0.2847,279.4,307.9,1.184
90,0.4903,288.3,317.8,1.253,90,0.367,288.2,317.5,1.229,90,0.293,288,317.3,1.21
100,0.5041,297.15,327.45,1.2785,100,0.3774,297.05,327.2,1.255,100,0.30135,296.85,327,1.236
110,0.5179,306,337.1,1.304,110,0.3878,305.9,336.9,1.281,110,0.3097,305.7,336.7,1.262
120,0.5316,315.1,347,1.33,120,0.3981,314.9,346.8,1.306,120,0.318,314.8,346.6,1.288
130,0.5453,324.3,357,1.355,130,0.4085,324.2,356.8,1.331,130,0.3263,324,356.7,1.313
140,0.5591,333.7,367.2,1.38,140,0.4188,333.5,367.1,1.356,140,0.3346,333.4,366.9,1.338
150,0.5728,343.2,377.6,1.405,150,0.4291,343.1,377.4,1.381,150,0.3429,343,377.3,1.363
160,0.5865,352.9,388.1,1.429,160,0.4394,352.8,387.9,1.406,160,0.3512,352.7,387.8,1.387
170,0.6002,362.7,398.7,1.454,170,0.4497,362.6,398.6,1.43,170,0.3594,362.5,398.5,1.412
180,0.6139,372.7,409.6,1.478,180,0.46,372.6,409.4,1.454,180,0.3677,372.6,409.3,1.436
190,0.6275,382.9,420.5,1.502,190,0.4703,382.8,420.4,1.478,190,0.3759,382.7,420.3,1.46
200,0.6412,393.2,431.7,1.526,200,0.4806,393.1,431.5,1.502,200,0.3842,393,431.4,1.484

P= 0.15 [MPa]        Tsat= -17.13 [°C]                 P= 0.20 [MPa]       Tsat= -10.08 [°C]                  P= 0.30 [MPa]       Tsat= 0.67 [°C]
 T [°C]   v (m /kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]
-50,0.00069,-30.19,-30.09,-0.1282,-50,0.00069,-30.21,-30.07,-0.1283,-50,0.00069,-30.24,-30.03,-0.1284
-40,0.00071,-17.74,-17.63,-0.07358,-40,0.00071,-17.75,-17.61,-0.07365,-40,0.00071,-17.79,-17.57,-0.0738
-30,0.00072,-5.104,-4.996,-0.02052,-30,0.00072,-5.122,-4.978,-0.0206,-30,0.00072,-5.16,-4.944,-0.02076
-20,0.00074,7.721,7.831,0.03117,-20,0.00074,7.699,7.847,0.03108,-20,0.00074,7.657,7.878,0.03092
-10,0.1358,208,228.4,0.8925,-10,0.09991,206.9,226.9,0.8646,-10,0.00075,20.69,20.91,0.08142
0,0.142,215.4,236.7,0.9234,0,0.1048,214.4,235.4,0.8964,0,0.00077,33.96,34.19,0.1309
10,0.1481,222.8,245,0.9534,10,0.1096,222,243.9,0.927,10,0.07093,220.2,241.5,0.8876
20,0.1541,230.4,253.5,0.9829,20,0.1142,229.7,252.5,0.9569,20,0.07425,228.2,250.4,0.9185
30,0.16,238.1,262.1,1.012,30,0.1187,237.5,261.2,0.9861,30,0.07748,236.1,259.4,0.9485
40,0.1658,246,270.9,1.04,40,0.1232,245.4,270.1,1.015,40,0.08063,244.2,268.4,0.9778
50,0.1716,254,279.8,1.068,50,0.1277,253.5,279,1.043,50,0.08372,252.4,277.5,1.006
60,0.1773,262.2,288.8,1.096,60,0.1321,261.7,288.1,1.071,60,0.08677,260.7,286.7,1.035
70,0.183,270.5,298,1.123,70,0.1364,270.1,297.4,1.098,70,0.08978,269.1,296.1,1.062
80,0.1887,279,307.3,1.15,80,0.1407,278.6,306.7,1.125,80,0.09276,277.7,305.6,1.089
90,0.1944,287.6,316.8,1.176,90,0.145,287.3,316.3,1.152,90,0.0957,286.5,315.2,1.116
100,0.2,296.5,326.5,1.202,100,0.1493,296.2,326.1,1.178,100,0.0986,295.5,325,1.143
110,0.2056,305.4,336.2,1.228,110,0.1536,305,335.8,1.204,110,0.1015,304.4,334.8,1.169
120,0.2112,314.5,346.2,1.254,120,0.1578,314.2,345.7,1.229,120,0.1044,313.5,344.9,1.195
130,0.2168,323.7,356.3,1.279,130,0.1621,323.4,355.9,1.255,130,0.1073,322.8,355,1.22
140,0.2224,333.2,366.5,1.304,140,0.1663,332.9,366.1,1.28,140,0.1102,332.3,365.4,1.246
150,0.228,342.7,376.9,1.329,150,0.1705,342.5,376.6,1.305,150,0.113,341.9,375.8,1.271
160,0.2335,352.4,387.5,1.354,160,0.1747,352.2,387.1,1.33,160,0.1158,351.7,386.4,1.295
170,0.2391,362.3,398.2,1.378,170,0.1789,362.1,397.8,1.354,170,0.1187,361.6,397.2,1.32
180,0.2446,372.3,409,1.402,180,0.183,372.1,408.7,1.378,180,0.1215,371.6,408.1,1.344
190,0.2501,382.5,420,1.426,190,0.1872,382.3,419.7,1.402,190,0.1243,381.8,419.1,1.368
200,0.2556,392.8,431.2,1.45,200,0.1914,392.6,430.9,1.426,200,0.1271,392.2,430.3,1.392



P= 0.35 [MPa]       Tsat= 5.02 [°C]                    P= 0.40 [MPa]       Tsat= 8.93 [°C]                    P= 0.50 [MPa]       Tsat= 15.73 [°C]
 T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]      T [°C]   v (m^3/kg) u [kJ/kg] h [kJ/kg] s [kJ/kgK]
-50,0.00069,-30.25,-30.01,-0.1285,    -50,0.00069,-30.27,-29.99,-0.1285,-50,0.00069,-30.3,-29.95,-0.1287
-40,0.00071,-17.8,-17.56,-0.07387,    -40,0.0007,-17.82,-17.54,-0.07394,-40,0.0007,-17.85,-17.5,-0.07408
-30,0.00072,-5.179,-4.927,-0.02083,   -30,0.00072,-5.197,-4.909,-0.02091,-30,0.00072,-5.235,-4.875,-0.02106
-20,0.00074,7.636,7.894,0.03084,    -20,0.00074,7.615,7.91,0.03075,-20,0.00074,7.573,7.941,0.03059
-10,0.00075,20.66,20.93,0.08133,    -10,0.00075,20.64,20.94,0.08124,-10,0.00075,20.59,20.97,0.08106
0,0.00077,33.93,34.2,0.1308,0,0.00077,33.91,34.21,0.1307,0,0.00077,33.85,34.24,0.1305
10,0.05985,219.3,240.3,0.8716,10,0.05151,218.3,238.9,0.8571,10,0.00079,47.38,47.78,0.1792
20,0.06281,227.3,249.3,0.9031,20,0.05421,226.5,248.2,0.8893,20,0.04212,224.7,245.8,0.8649
30,0.06567,235.4,258.4,0.9336,30,0.0568,234.7,257.4,0.9202,30,0.04434,233.2,255.3,0.8969
40,0.06844,243.6,267.5,0.9631,40,0.05929,242.9,266.6,0.9502,40,0.04646,241.6,264.8,0.9276
50,0.07116,251.8,276.7,0.9921,50,0.06172,251.2,275.9,0.9794,50,0.0485,250.1,274.3,0.9574
60,0.07382,260.2,286,1.02,60,0.0641,259.7,285.3,1.008,60,0.05049,258.6,283.8,0.9865
